unit_id,doc_ground_truth_value,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_time_elapsed,doc_accesses
unit_1,3.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,175.61,1.0
unit_1,4.0,2.0,0.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,88.39,1.0
unit_1,3.0,2.0,0.0,0.0,-1.0,2.0,2.0,-1.0,0.0,1.0,84.6,1.0
unit_1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,53.41,1.0
unit_1,4.0,0.0,-1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,361.84,1.0
unit_1,3.0,-1.0,-1.0,-2.0,-2.0,2.0,1.0,-1.0,-2.0,1.0,65.65,1.0
unit_1,3.0,-2.0,0.0,-2.0,-2.0,2.0,1.0,1.0,-2.0,1.0,130.49,1.0
unit_1,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,52.74,1.0
unit_1,4.0,0.0,-2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,138.69,1.0
unit_1,4.0,0.0,-1.0,0.0,-1.0,2.0,2.0,0.0,0.0,2.0,162.28,1.0
unit_1,0.0,-2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,0.0,-2.0,37.7,1.0
unit_3,3.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,123.7,1.0
unit_3,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,28.44,1.0
unit_3,3.0,2.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,80.45,1.0
unit_3,3.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,75.34,1.0
unit_3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,73.48,1.0
unit_3,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,57.34,1.0
unit_3,2.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,60.11,1.0
unit_3,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,54.74,1.0
unit_3,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,37.25,1.0
unit_3,2.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,50.47,1.0
unit_3,2.0,2.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,39.05,1.0
unit_5,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,143.37,1.0
unit_5,4.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,74.88,1.0
unit_5,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,90.0,1.0
unit_5,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,77.36,1.0
unit_5,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,51.51,2.0
unit_5,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,70.56,2.0
unit_5,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,58.97,1.0
unit_5,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,63.55,1.0
unit_5,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,79.52,1.0
unit_5,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,49.65,1.0
unit_5,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,52.91,1.0
unit_7,2.0,0.0,1.0,0.0,-1.0,2.0,0.0,-1.0,0.0,0.0,310.33,1.0
unit_7,1.0,0.0,0.0,-1.0,-2.0,2.0,2.0,-1.0,-2.0,-1.0,84.11,1.0
unit_7,2.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-2.0,0.0,83.3,1.0
unit_7,1.0,0.0,1.0,0.0,0.0,2.0,-2.0,-2.0,2.0,-1.0,72.73,1.0
unit_7,0.0,-2.0,2.0,-2.0,0.0,0.0,-2.0,0.0,2.0,-2.0,68.71,1.0
unit_7,1.0,-2.0,0.0,-1.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0,183.54,1.0
unit_7,0.0,-2.0,1.0,-2.0,-2.0,1.0,1.0,-1.0,-2.0,-2.0,88.16,1.0
unit_7,3.0,0.0,0.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,71.58,1.0
unit_7,3.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,76.18,1.0
unit_7,2.0,0.0,0.0,0.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,94.64,1.0
unit_7,2.0,0.0,-1.0,0.0,-1.0,2.0,1.0,-1.0,0.0,0.0,100.74,1.0
unit_9,4.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,147.71,1.0
unit_9,3.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,2.0,1.0,83.93,1.0
unit_9,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,91.11,1.0
unit_9,0.0,-1.0,-2.0,-1.0,-1.0,1.0,-2.0,-1.0,0.0,-2.0,187.34,1.0
unit_9,1.0,-1.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,0.0,-1.0,139.83,1.0
unit_9,1.0,1.0,1.0,1.0,-1.0,1.0,-2.0,-2.0,0.0,-1.0,147.2,1.0
unit_9,2.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-2.0,0.0,122.14,1.0
unit_9,0.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,48.34,1.0
unit_9,3.0,0.0,0.0,0.0,2.0,1.0,-1.0,1.0,2.0,1.0,567.44,1.0
unit_9,3.0,1.0,-2.0,1.0,1.0,2.0,2.0,-1.0,2.0,1.0,55.76,1.0
unit_9,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,244.68,1.0
unit_11,1.0,-1.0,-2.0,-1.0,-2.0,1.0,-1.0,-2.0,-2.0,-1.0,362.11,1.0
unit_11,1.0,-1.0,-2.0,-1.0,-2.0,2.0,2.0,-1.0,1.0,-1.0,179.86,1.0
unit_11,3.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-1.0,1.0,1.0,94.32,1.0
unit_11,1.0,-1.0,-2.0,-1.0,1.0,2.0,2.0,1.0,-1.0,-1.0,203.58,1.0
unit_11,1.0,-2.0,-2.0,-2.0,-1.0,2.0,2.0,-2.0,-1.0,-1.0,136.2,1.0
unit_11,0.0,1.0,1.0,1.0,-2.0,1.0,-2.0,-2.0,1.0,-2.0,51.34,1.0
unit_11,1.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-1.0,-1.0,-1.0,263.86,1.0
unit_11,1.0,-1.0,-2.0,-1.0,-2.0,1.0,-1.0,-2.0,-1.0,-1.0,163.45,1.0
unit_11,3.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,103.66,1.0
unit_11,0.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,100.95,1.0
unit_11,3.0,1.0,-2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,72.06,1.0
unit_13,2.0,-1.0,1.0,-2.0,-2.0,1.0,1.0,-1.0,0.0,0.0,155.19,1.0
unit_13,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,71.41,1.0
unit_13,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,77.15,1.0
unit_13,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,98.93,1.0
unit_13,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,49.96,1.0
unit_13,2.0,-2.0,2.0,-2.0,0.0,-1.0,2.0,0.0,2.0,0.0,64.8,1.0
unit_13,3.0,0.0,-1.0,-2.0,-2.0,1.0,1.0,1.0,0.0,1.0,64.38,1.0
unit_13,1.0,-1.0,-2.0,0.0,-1.0,1.0,1.0,1.0,0.0,-1.0,58.87,1.0
unit_13,2.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,62.68,1.0
unit_13,3.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,66.09,1.0
unit_13,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,78.27,1.0
unit_15,3.0,2.0,0.0,1.0,-1.0,2.0,2.0,1.0,1.0,1.0,148.9,1.0
unit_15,0.0,-2.0,2.0,-2.0,0.0,-1.0,-2.0,-2.0,1.0,-2.0,138.04,1.0
unit_15,3.0,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,351.08,1.0
unit_15,3.0,0.0,-2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,249.4,1.0
unit_15,3.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,99.04,1.0
unit_15,2.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-2.0,0.0,111.77,1.0
unit_15,3.0,1.0,-2.0,-1.0,-2.0,1.0,1.0,0.0,-1.0,1.0,90.77,1.0
unit_15,3.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,150.52,1.0
unit_15,3.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,91.2,1.0
unit_15,3.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,123.53,1.0
unit_15,3.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,214.71,1.0
unit_17,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,178.0,1.0
unit_17,0.0,-2.0,2.0,-2.0,-2.0,2.0,2.0,1.0,1.0,-2.0,106.87,1.0
unit_17,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,101.34,1.0
unit_17,0.0,-2.0,2.0,-2.0,1.0,2.0,1.0,-1.0,1.0,-2.0,167.27,1.0
unit_17,3.0,1.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,72.04,1.0
unit_17,0.0,-2.0,2.0,-2.0,-1.0,2.0,1.0,-1.0,-1.0,-2.0,77.98,1.0
unit_17,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,75.67,1.0
unit_17,3.0,1.0,-1.0,1.0,-1.0,2.0,1.0,-1.0,1.0,1.0,91.42,1.0
unit_17,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,76.63,1.0
unit_17,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,63.54,1.0
unit_17,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,59.76,1.0
unit_19,3.0,-2.0,-2.0,-2.0,0.0,2.0,1.0,2.0,-1.0,1.0,212.71,1.0
unit_19,3.0,0.0,-2.0,0.0,-1.0,2.0,2.0,2.0,0.0,1.0,257.96,1.0
unit_19,3.0,1.0,-1.0,-1.0,-2.0,2.0,2.0,1.0,-1.0,1.0,132.58,1.0
unit_19,0.0,-2.0,-2.0,-2.0,-1.0,1.0,-2.0,-2.0,-2.0,-2.0,75.14,1.0
unit_19,3.0,-1.0,-1.0,-2.0,-2.0,2.0,1.0,-1.0,-1.0,1.0,135.38,1.0
unit_19,3.0,0.0,-2.0,0.0,-2.0,2.0,1.0,2.0,-1.0,1.0,160.67,1.0
unit_19,3.0,-2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,-2.0,1.0,48.8,1.0
unit_19,0.0,2.0,2.0,2.0,-2.0,-1.0,-2.0,-2.0,2.0,-2.0,49.63,1.0
unit_19,3.0,1.0,2.0,1.0,-2.0,2.0,1.0,-1.0,-2.0,1.0,72.74,1.0
unit_19,4.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,102.93,1.0
unit_19,4.0,2.0,1.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,78.73,1.0
unit_21,1.0,0.0,2.0,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,148.31,1.0
unit_21,2.0,1.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,176.78,1.0
unit_21,3.0,2.0,-2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,178.64,1.0
unit_21,2.0,0.0,-2.0,-1.0,-2.0,2.0,1.0,1.0,0.0,0.0,139.62,1.0
unit_21,1.0,0.0,-2.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0,104.13,1.0
unit_21,0.0,-2.0,-2.0,-1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,147.22,1.0
unit_21,1.0,1.0,-2.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,57.31,1.0
unit_21,2.0,1.0,-2.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,128.68,1.0
