unit_id,counts
unit_72,11
unit_90,11
unit_195,11
unit_96,11
unit_179,11
unit_60,10
unit_109,10
unit_123,10
unit_77,10
unit_119,10
unit_38,10
unit_174,10
unit_78,10
unit_175,10
unit_108,9
unit_84,9
unit_81,9
unit_88,9
unit_110,9
unit_117,9
unit_196,9
unit_191,9
unit_154,9
unit_26,8
unit_39,8
unit_148,8
unit_128,8
unit_140,8
unit_141,8
unit_41,8
unit_71,8
unit_192,8
unit_98,8
unit_92,8
unit_161,8
unit_5,8
unit_124,8
unit_95,8
unit_17,7
unit_167,7
unit_146,7
unit_168,7
unit_25,7
unit_65,7
unit_150,7
unit_159,7
unit_82,7
unit_171,7
unit_144,7
unit_176,7
unit_54,7
unit_80,7
unit_142,7
unit_100,7
unit_102,7
unit_103,7
unit_105,7
unit_11,7
unit_93,7
unit_48,7
unit_185,7
unit_12,7
unit_193,7
unit_132,7
unit_37,7
unit_87,7
unit_86,7
unit_14,7
unit_131,7
unit_194,6
unit_76,6
unit_180,6
unit_173,6
unit_79,6
unit_33,6
unit_165,6
unit_163,6
unit_10,6
unit_97,6
unit_57,6
unit_45,6
unit_122,6
unit_42,6
unit_126,6
unit_61,6
unit_134,6
unit_137,6
unit_138,6
unit_147,6
unit_30,6
unit_28,6
unit_66,6
unit_7,6
unit_70,6
unit_162,6
unit_19,5
unit_32,5
unit_22,5
unit_68,5
unit_46,5
unit_190,5
unit_0,5
unit_145,5
unit_155,5
unit_111,5
unit_94,5
unit_9,5
unit_13,5
unit_130,5
unit_133,5
unit_143,5
unit_73,5
unit_149,5
unit_152,5
unit_166,5
unit_157,5
unit_169,5
unit_74,5
unit_181,5
unit_164,5
unit_156,4
unit_6,4
unit_43,4
unit_120,4
unit_116,4
unit_59,4
unit_115,4
unit_182,4
unit_50,4
unit_58,4
unit_53,4
unit_4,4
unit_55,4
unit_1,4
unit_85,4
unit_36,4
unit_153,4
unit_62,4
unit_34,4
unit_198,4
unit_69,4
unit_27,4
unit_135,4
unit_16,4
unit_3,4
unit_15,4
unit_67,3
unit_83,3
unit_91,3
unit_89,3
unit_64,3
unit_189,3
unit_18,3
unit_2,3
unit_101,3
unit_104,3
unit_113,3
unit_114,3
unit_118,3
unit_125,3
unit_136,3
unit_139,3
unit_151,3
unit_158,3
unit_160,3
unit_178,3
unit_183,3
unit_99,3
unit_31,3
unit_51,3
unit_47,3
unit_20,3
unit_44,3
unit_21,3
unit_40,3
unit_23,3
unit_24,3
unit_199,2
unit_49,2
unit_106,2
unit_107,2
unit_35,2
unit_127,2
unit_129,2
unit_29,2
unit_197,2
unit_170,2
unit_172,2
unit_8,2
unit_52,2
unit_184,2
unit_75,2
unit_187,2
unit_56,2
unit_63,1
unit_177,1
unit_121,1
unit_112,1
unit_186,1
unit_188,1
